Wed Aug 12 18:14:38 CST 2015 restarting ssserver
Wed Aug 12 18:14:47 CST 2015 restarting ssserver
Wed Aug 12 19:00:01 CST 2015 restarting ssserver
Thu Aug 13 05:00:01 CST 2015 restarting ssserver
Thu Aug 13 08:25:15 CST 2015 restarting ssserver
Thu Aug 13 08:25:15 CST 2015 stopped ssserver
Thu Aug 13 08:28:00 CST 2015 restarting ssserver
Thu Aug 13 08:29:04 CST 2015 restarting ssserver
Thu Aug 13 08:30:10 CST 2015 restarting ssserver
Thu Aug 13 19:00:01 CST 2015 restarting ssserver
Thu Aug 13 19:00:01 CST 2015 stopped ssserver
Fri Aug 14 05:00:01 CST 2015 restarting ssserver
Fri Aug 14 05:00:01 CST 2015 stopped ssserver
Fri Aug 14 16:27:11 CST 2015 restarting ssserver
Fri Aug 14 16:27:14 CST 2015 stopped ssserver
Fri Aug 14 16:27:49 CST 2015 stopped ssserver
Fri Aug 14 16:28:48 CST 2015 restarting ssserver
Fri Aug 14 16:29:00 CST 2015 restarting ssserver
Fri Aug 14 16:29:00 CST 2015 stopped ssserver
Fri Aug 14 16:30:50 CST 2015 restarting ssserver#
Fri Aug 14 16:33:20 CST 2015 restarting ssserver#10
Fri Aug 14 16:33:20 CST 2015 stopped ssserver#8
Fri Aug 14 16:33:28 CST 2015 restarting ssserver#9
Fri Aug 14 16:33:28 CST 2015 stopped ssserver#10
Fri Aug 14 16:33:37 CST 2015 restarting ssserver#4
Fri Aug 14 16:33:37 CST 2015 stopped ssserver#9
Fri Aug 14 16:34:46 CST 2015 ssserver #7 restarting
Fri Aug 14 16:34:47 CST 2015 ssserver #4 stopped
Fri Aug 14 16:34:52 CST 2015 ssserver #5 restarting
Fri Aug 14 16:34:52 CST 2015 ssserver #7 stopped
Fri Aug 14 16:35:16 CST 2015 ssserver #2 running
Fri Aug 14 16:35:24 CST 2015 ssserver #4 running
Fri Aug 14 16:35:24 CST 2015 ssserver #2 stopped
Fri Aug 14 19:00:01 CST 2015 ssserver #9 running
Fri Aug 14 19:00:01 CST 2015 ssserver #4 stopped
Sat Aug 15 05:00:01 CST 2015 ssserver #3 running
Sat Aug 15 05:00:01 CST 2015 ssserver #9 stopped
Sat Aug 15 19:00:01 CST 2015 ssserver #8 running
Sat Aug 15 19:00:01 CST 2015 ssserver #3 stopped
Sun Aug 16 05:00:01 CST 2015 ssserver #7 running
Sun Aug 16 05:00:01 CST 2015 ssserver #8 stopped
Sun Aug 16 19:00:01 CST 2015 ssserver #1 running
Sun Aug 16 19:00:01 CST 2015 ssserver #7 stopped
Mon Aug 17 05:00:01 CST 2015 ssserver #2 running
Mon Aug 17 05:00:01 CST 2015 ssserver #1 stopped
Mon Aug 17 19:00:01 CST 2015 ssserver #6 running
Mon Aug 17 19:00:01 CST 2015 ssserver #2 stopped
Tue Aug 18 05:00:02 CST 2015 ssserver #5 running
Tue Aug 18 05:00:02 CST 2015 ssserver #6 stopped
Tue Aug 18 19:00:01 CST 2015 ssserver #2 running
Tue Aug 18 19:00:01 CST 2015 ssserver #5 stopped
Wed Aug 19 05:00:01 CST 2015 ssserver #5 running
Wed Aug 19 05:00:01 CST 2015 ssserver #2 stopped
Wed Aug 19 19:00:01 CST 2015 ssserver #9 running
Wed Aug 19 19:00:01 CST 2015 ssserver #5 stopped
Thu Aug 20 05:00:01 CST 2015 ssserver #2 running
Thu Aug 20 05:00:01 CST 2015 ssserver #9 stopped
Thu Aug 20 19:00:01 CST 2015 ssserver #9 running
Thu Aug 20 19:00:01 CST 2015 ssserver #2 stopped
Thu Aug 20 22:13:42 CST 2015 ssserver #9 stopped
Thu Aug 20 22:17:18 CST 2015 ssserver #9 running
Thu Aug 20 22:17:32 CST 2015 ssserver #1 running
Thu Aug 20 22:17:53 CST 2015 ssserver #3 running
Thu Aug 20 22:18:00 CST 2015 ssserver #8 running
Thu Aug 20 22:18:02 CST 2015 ssserver #9 running
Thu Aug 20 22:18:03 CST 2015 ssserver #4 running
Thu Aug 20 22:18:05 CST 2015 ssserver #1 running
Thu Aug 20 22:18:06 CST 2015 ssserver #5 running
Thu Aug 20 22:18:07 CST 2015 ssserver #5 running
Thu Aug 20 22:18:08 CST 2015 ssserver #10 running
Thu Aug 20 22:18:11 CST 2015 ssserver #7 running
Thu Aug 20 22:18:13 CST 2015 ssserver #2 running
Fri Aug 21 05:00:01 CST 2015 ssserver #10 running
Fri Aug 21 19:00:01 CST 2015 ssserver #9 running
Sat Aug 22 05:00:01 CST 2015 ssserver #6 running
Sat Aug 22 19:00:01 CST 2015 ssserver #6 running
Sun Aug 23 05:00:01 CST 2015 ssserver #2 running
Sun Aug 23 19:00:01 CST 2015 ssserver #4 running
Mon Aug 24 05:00:01 CST 2015 ssserver #3 running
Mon Aug 24 19:00:01 CST 2015 ssserver #1 running
Tue Aug 25 05:00:01 CST 2015 ssserver #8 running
Tue Aug 25 19:00:01 CST 2015 ssserver #2 running
Wed Aug 26 05:00:01 CST 2015 ssserver #9 running
Wed Aug 26 19:00:01 CST 2015 ssserver #9 running
Thu Aug 27 05:00:01 CST 2015 ssserver #3 running
Thu Aug 27 19:00:01 CST 2015 ssserver #7 running
Fri Aug 28 05:00:01 CST 2015 ssserver #10 running
Fri Aug 28 19:00:01 CST 2015 ssserver #8 running
Sat Aug 29 05:00:01 CST 2015 ssserver #1 running
Sat Aug 29 19:00:01 CST 2015 ssserver #10 running
Sun Aug 30 05:00:01 CST 2015 ssserver #10 running
Sun Aug 30 19:00:01 CST 2015 ssserver #4 running
Mon Aug 31 05:00:01 CST 2015 ssserver #4 running
Mon Aug 31 19:00:01 CST 2015 ssserver #7 running
Tue Sep  1 05:00:01 CST 2015 ssserver #2 running
Tue Sep  1 19:00:01 CST 2015 ssserver #10 running
Wed Sep  2 05:00:01 CST 2015 ssserver #5 running
Wed Sep  2 19:00:01 CST 2015 ssserver #1 running
Thu Sep  3 05:00:01 CST 2015 ssserver #8 running
Thu Sep  3 19:00:01 CST 2015 ssserver #2 running
Fri Sep  4 05:00:01 CST 2015 ssserver #1 running
Fri Sep  4 19:00:02 CST 2015 ssserver #8 running
Sat Sep  5 05:00:01 CST 2015 ssserver #3 running
Sat Sep  5 19:00:01 CST 2015 ssserver #4 running
Sun Sep  6 05:00:01 CST 2015 ssserver #2 running
Sun Sep  6 19:00:01 CST 2015 ssserver #5 running
Mon Sep  7 05:00:01 CST 2015 ssserver #7 running
Mon Sep  7 19:00:01 CST 2015 ssserver #10 running
Tue Sep  8 05:00:01 CST 2015 ssserver #9 running
Tue Sep  8 19:00:01 CST 2015 ssserver #2 running
Wed Sep  9 05:00:01 CST 2015 ssserver #3 running
Wed Sep  9 19:00:01 CST 2015 ssserver #3 running
Thu Sep 10 05:00:01 CST 2015 ssserver #3 running
Thu Sep 10 19:00:01 CST 2015 ssserver #5 running
Fri Sep 11 05:00:01 CST 2015 ssserver #6 running
Fri Sep 11 19:00:01 CST 2015 ssserver #3 running
Sat Sep 12 05:00:01 CST 2015 ssserver #3 running
Sat Sep 12 19:00:01 CST 2015 ssserver #8 running
Sun Sep 13 05:00:01 CST 2015 ssserver #7 running
Sun Sep 13 19:00:01 CST 2015 ssserver #4 running
Mon Sep 14 05:00:01 CST 2015 ssserver #6 running
Mon Sep 14 19:00:01 CST 2015 ssserver #2 running
Tue Sep 15 05:00:01 CST 2015 ssserver #6 running
Tue Sep 15 19:00:01 CST 2015 ssserver #10 running
Wed Sep 16 05:00:01 CST 2015 ssserver #1 running
Wed Sep 16 19:00:01 CST 2015 ssserver #3 running
Thu Sep 17 05:00:01 CST 2015 ssserver #1 running
Thu Sep 17 19:00:01 CST 2015 ssserver #1 running
Fri Sep 18 05:00:01 CST 2015 ssserver #5 running
Fri Sep 18 19:00:01 CST 2015 ssserver #4 running
Sat Sep 19 05:00:01 CST 2015 ssserver #5 running
Sat Sep 19 19:00:01 CST 2015 ssserver #3 running
Sun Sep 20 05:00:01 CST 2015 ssserver #6 running
Sun Sep 20 19:00:01 CST 2015 ssserver #2 running
Mon Sep 21 05:00:01 CST 2015 ssserver #1 running
Mon Sep 21 19:00:01 CST 2015 ssserver #8 running
Tue Sep 22 05:00:01 CST 2015 ssserver #4 running
Tue Sep 22 19:00:01 CST 2015 ssserver #10 running
Wed Sep 23 05:00:01 CST 2015 ssserver #8 running
Wed Sep 23 19:00:01 CST 2015 ssserver #7 running
Thu Sep 24 05:00:01 CST 2015 ssserver #2 running
Thu Sep 24 19:00:01 CST 2015 ssserver #2 running
Fri Sep 25 05:00:01 CST 2015 ssserver #8 running
Fri Sep 25 19:00:01 CST 2015 ssserver #8 running
Sat Sep 26 05:00:01 CST 2015 ssserver #3 running
Sat Sep 26 19:00:01 CST 2015 ssserver #8 running
Sun Sep 27 05:00:02 CST 2015 ssserver #3 running
Sun Sep 27 19:00:01 CST 2015 ssserver #2 running
Mon Sep 28 05:00:01 CST 2015 ssserver #4 running
Mon Sep 28 19:00:01 CST 2015 ssserver #9 running
Tue Sep 29 05:00:01 CST 2015 ssserver #10 running
Tue Sep 29 19:00:01 CST 2015 ssserver #9 running
Wed Sep 30 05:00:01 CST 2015 ssserver #5 running
Wed Sep 30 19:00:01 CST 2015 ssserver #3 running
Thu Oct  1 05:00:01 CST 2015 ssserver #5 running
Thu Oct  1 19:00:01 CST 2015 ssserver #2 running
Fri Oct  2 05:00:01 CST 2015 ssserver #10 running
Fri Oct  2 19:00:01 CST 2015 ssserver #5 running
Sat Oct  3 05:00:01 CST 2015 ssserver #2 running
Sat Oct  3 19:00:01 CST 2015 ssserver #8 running
Sun Oct  4 05:00:01 CST 2015 ssserver #8 running
Sun Oct  4 19:00:01 CST 2015 ssserver #7 running
Mon Oct  5 05:00:01 CST 2015 ssserver #4 running
Mon Oct  5 19:00:01 CST 2015 ssserver #2 running
Tue Oct  6 05:00:01 CST 2015 ssserver #5 running
Tue Oct  6 19:00:01 CST 2015 ssserver #3 running
Wed Oct  7 05:00:01 CST 2015 ssserver #4 running
Wed Oct  7 19:00:01 CST 2015 ssserver #6 running
Thu Oct  8 05:00:01 CST 2015 ssserver #4 running
Thu Oct  8 19:00:01 CST 2015 ssserver #5 running
Fri Oct  9 05:00:01 CST 2015 ssserver #3 running
Fri Oct  9 19:00:01 CST 2015 ssserver #3 running
Sat Oct 10 05:00:01 CST 2015 ssserver #5 running
Sat Oct 10 19:00:01 CST 2015 ssserver #3 running
Sun Oct 11 05:00:01 CST 2015 ssserver #9 running
Sun Oct 11 19:00:01 CST 2015 ssserver #7 running
Mon Oct 12 05:00:01 CST 2015 ssserver #5 running
Mon Oct 12 19:00:01 CST 2015 ssserver #7 running
Tue Oct 13 05:00:01 CST 2015 ssserver #3 running
Tue Oct 13 19:00:01 CST 2015 ssserver #10 running
Wed Oct 14 05:00:01 CST 2015 ssserver #5 running
Wed Oct 14 19:00:01 CST 2015 ssserver #7 running
Thu Oct 15 05:00:01 CST 2015 ssserver #7 running
Thu Oct 15 19:00:01 CST 2015 ssserver #9 running
Fri Oct 16 05:00:01 CST 2015 ssserver #2 running
Fri Oct 16 19:00:01 CST 2015 ssserver #8 running
Sat Oct 17 05:00:01 CST 2015 ssserver #9 running
Sat Oct 17 19:00:01 CST 2015 ssserver #2 running
Sun Oct 18 05:00:01 CST 2015 ssserver #4 running
Sun Oct 18 19:00:01 CST 2015 ssserver #2 running
Mon Oct 19 05:00:01 CST 2015 ssserver #1 running
Mon Oct 19 19:00:01 CST 2015 ssserver #7 running
Tue Oct 20 05:00:01 CST 2015 ssserver #4 running
Tue Oct 20 19:00:01 CST 2015 ssserver #3 running
Wed Oct 21 05:00:01 CST 2015 ssserver #10 running
Wed Oct 21 19:00:01 CST 2015 ssserver #5 running
Wed Oct 21 22:38:40 CST 2015 ssserver #1 running
Thu Oct 22 05:00:01 CST 2015 ssserver #7 running
Thu Oct 22 19:00:01 CST 2015 ssserver #6 running
Fri Oct 23 05:00:02 CST 2015 ssserver #4 running
Fri Oct 23 11:23:05 CST 2015 ssserver #9 running
Fri Oct 23 19:00:01 CST 2015 ssserver #10 running
Sat Oct 24 05:00:01 CST 2015 ssserver #4 running
Sat Oct 24 19:00:01 CST 2015 ssserver #10 running
Sun Oct 25 05:00:01 CST 2015 ssserver #7 running
Sun Oct 25 19:00:01 CST 2015 ssserver #2 running
Mon Oct 26 05:00:01 CST 2015 ssserver #5 running
Mon Oct 26 19:00:01 CST 2015 ssserver #4 running
Tue Oct 27 05:00:01 CST 2015 ssserver #6 running
Tue Oct 27 19:00:01 CST 2015 ssserver #8 running
Wed Oct 28 05:00:01 CST 2015 ssserver #5 running
Wed Oct 28 19:00:01 CST 2015 ssserver #10 running
Thu Oct 29 05:00:01 CST 2015 ssserver #2 running
Thu Oct 29 19:00:01 CST 2015 ssserver #9 running
Fri Oct 30 05:00:01 CST 2015 ssserver #4 running
Fri Oct 30 19:00:01 CST 2015 ssserver #7 running
Sat Oct 31 05:00:01 CST 2015 ssserver #9 running
Sat Oct 31 19:00:01 CST 2015 ssserver #6 running
Sun Nov  1 05:00:01 CST 2015 ssserver #3 running
Sun Nov  1 19:00:01 CST 2015 ssserver #2 running
Mon Nov  2 05:00:01 CST 2015 ssserver #10 running
Mon Nov  2 19:00:01 CST 2015 ssserver #10 running
Tue Nov  3 05:00:01 CST 2015 ssserver #1 running
Tue Nov  3 19:00:01 CST 2015 ssserver #7 running
Wed Nov  4 05:00:01 CST 2015 ssserver #7 running
Wed Nov  4 19:00:01 CST 2015 ssserver #4 running
Thu Nov  5 05:00:01 CST 2015 ssserver #6 running
Thu Nov  5 19:00:01 CST 2015 ssserver #2 running
Fri Nov  6 05:00:01 CST 2015 ssserver #3 running
Fri Nov  6 19:00:01 CST 2015 ssserver #10 running
Sat Nov  7 05:00:01 CST 2015 ssserver #3 running
Sat Nov  7 19:00:01 CST 2015 ssserver #3 running
Sun Nov  8 05:00:01 CST 2015 ssserver #2 running
